Company,Sales ($billion),Profits ($billion),Total Cost($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude
Coca-Cola Enterprises,8.1,0.7,7.4,9.5,10.1,USA,North America,37.09024,-95.712891
Haitong Securities,1.6,0.5,1.1,20.3,16.7,China,Asia,35.86166,104.195397
Ralph Lauren,6.9,0.7,6.2,5.5,15.5,USA,North America,37.09024,-95.712891
Hershey,6.6,0.7,5.9,4.8,18.2,USA,North America,37.09024,-95.712891
Singapore Airlines,11.8,0.3,11.5,17.5,10,Singapore,Asia,1.352083,103.819836
Bank of India,6.3,0.5,5.8,76.1,3.4,India,Asia,20.593684,78.96288
RHB Capital,2,0.6,1.4,61.8,6.8,Malaysia,Asia,4.210484,101.975766
Mitsubishi Motors,21.8,0.3,21.5,15.9,6.8,Japan,Asia,36.204824,138.252924
Finatis,54.9,0.2,54.7,40,0.5,France,Europe,46.227638,2.213749
Lear,14.6,1.3,13.3,8.2,5.4,USA,North America,37.09024,-95.712891
Mechel,11.4,0.7,10.7,19.3,2.2,Russia,Europe,61.52401,105.318756
GKN,10.6,0.8,9.8,9.7,6.8,UK,Europe,55.378051,-3.435973
Emirates NBD,3.8,0.6,3.2,83.9,5.8,United Arab Emirates,Asia,23.424076,53.847818
Eastman Chemical,8.1,0.4,7.7,11.6,11.2,USA,North America,37.09024,-95.712891
Shaw Communications,5.1,0.8,4.3,12.5,10.8,Canada,North America,56.130366,-106.346771
Huntington Bancshares,3,0.6,2.4,56.2,6.3,USA,North America,37.09024,-95.712891
Steel Authority of India,9,0.7,8.3,15.4,5.3,India,Asia,20.593684,78.96288
DP World,3.1,0.7,2.4,16.4,12,United Arab Emirates,Asia,23.424076,53.847818
Bidvest Group,16.4,0.5,15.9,6.8,8.1,South Africa,Africa,-30.559482,22.937506
Comerica,2.7,0.5,2.2,65.4,6.9,USA,North America,37.09024,-95.712891
Murata Manufacturing,7.1,0.4,6.7,12,15.6,Japan,Asia,36.204824,138.252924
Mattel,6.4,0.8,5.6,6.5,14.5,USA,North America,37.09024,-95.712891
Chonqing Rural Bank,3.6,0.8,2.8,69.6,5,China,Asia,35.86166,104.195397
Bank of Ireland,8.2,-2.4,10.6,195.3,6,Ireland,Europe,53.41291,-8.24389
CA,4.7,0.9,3.8,11.6,11.6,USA,North America,37.09024,-95.712891
TD Ameritrade Holding,2.6,0.6,2,21,11.5,USA,North America,37.09024,-95.712891
Adobe Systems,4.4,0.7,3.7,10.2,20.6,USA,North America,37.09024,-95.712891
Südzucker,9.3,0.5,8.8,10.9,8.6,Germany,Europe,51.165691,10.451526
Avnet,25.2,0.5,24.7,10.6,5,USA,North America,37.09024,-95.712891
CH Robinson Worldwide,11.4,0.6,10.8,2.8,9.6,USA,North America,37.09024,-95.712891
Land Securities Group,1.1,0.8,0.3,17.3,9.8,UK,Europe,55.378051,-3.435973
Yamada Denki,22.2,0.7,21.5,11.2,4,Japan,Asia,36.204824,138.252924
Mitsubishi UFJ Lease,8.8,0.4,8.4,44.6,4.3,Japan,Asia,36.204824,138.252924
Nan Ya Plastics,10.2,0.1,10.1,16.3,13.9,Taiwan,Asia,23.69781,120.960515
NetApp,6.3,0.5,5.8,10.9,12.4,USA,North America,37.09024,-95.712891
Chiba Bank,2.4,0.5,1.9,132.2,6,Japan,Asia,36.204824,138.252924
Abu Dhabi Commercial Bank,2.6,0.7,1.9,49.2,6.1,United Arab Emirates,Asia,23.424076,53.847818
Johnson Matthey,19.3,0.5,18.8,5.2,7.5,UK,Europe,55.378051,-3.435973
Latam Airlines,9.7,0,9.7,21,11.1,Chile,South America,-35.675147,-71.542969
Tingyi Holding,9.2,0.5,8.7,7.5,15,China,Asia,35.86166,104.195397
Public Storage,1.8,0.9,0.9,8.8,26.7,USA,North America,37.09024,-95.712891
Areva,12.3,-0.1,12.4,39.8,6.2,France,Europe,46.227638,2.213749
Sun Art Retail Group,12.3,0.4,11.9,7.2,13.9,China,Asia,35.86166,104.195397
Subsea 7,6.3,0.8,5.5,10.5,8.3,UK,Europe,55.378051,-3.435973
Santos,3.4,0.5,2.9,17.7,13.1,Australia,Oceania,-25.274398,133.775136
Bankia,12.2,-24.5,36.7,372.6,0.7,Spain,Europe,40.463667,-3.74922
Land Lease Group,11.9,0.5,11.4,12.6,5.8,Australia,Oceania,-25.274398,133.775136
Norsk Hydro,11.7,-0.2,11.9,20.9,9,Norway,Europe,60.472024,8.468946
Fidelity National Information,5.8,0.5,5.3,13.6,11.3,USA,North America,37.09024,-95.712891
Fosun International,8.2,0.6,7.6,26,4.1,China,Asia,35.86166,104.195397
Sears Holdings,39.9,-1.1,41,19.3,5.5,USA,North America,37.09024,-95.712891
Delta Lloyd,14.6,-2,16.6,105.5,3.3,The Netherlands,Europe,52.132633,5.291266
UC Rusal,11,-0.1,11.1,25.5,8.1,Russia,Europe,61.52401,105.318756
Sumitomo Chemical,23.5,0.1,23.4,28.1,5.1,Japan,Asia,36.204824,138.252924
Banca MPS,12.1,-4.1,16.2,288.9,3.2,Italy,Europe,41.87194,12.56738
Alleghany,4.8,0.7,4.1,22.8,6.4,USA,North America,37.09024,-95.712891
Hyundai Engineering,11.8,0.5,11.3,12,6.4,South Korea,Asia,35.907757,127.766922
Canadian Tire,11.5,0.5,11,13.2,5.6,Canada,North America,56.130366,-106.346771
Shanghai International Port,4.5,0.8,3.7,13.3,9.8,China,Asia,35.86166,104.195397
St Jude Medical,5.5,0.8,4.7,9.3,11.9,USA,North America,37.09024,-95.712891
Eiffage,18,0.3,17.7,33.8,4.1,France,Europe,46.227638,2.213749
Tohoku Electric Power,20.4,-2.8,23.2,48.9,3.6,Japan,Asia,36.204824,138.252924
Ventas,2.5,0.4,2.1,19,20.6,USA,North America,37.09024,-95.712891
Shoppers Drug Mart,10.8,0.6,10.2,7.5,8.5,Canada,North America,56.130366,-106.346771
Link REIT,0.8,1.2,-0.4,10.2,12.7,Hong Kong,Asia,22.396428,114.109497
Air France-KLM,33.8,-1.6,35.4,34.7,3.1,France,Europe,46.227638,2.213749
SembCorp Industries,8.3,0.6,7.7,10.5,7.4,Singapore,Asia,1.352083,103.819836
Lanxess,11.7,0.7,11,8.7,6.8,Germany,Europe,51.165691,10.451526
CarMax,10.6,0.4,10.2,9.3,9.5,USA,North America,37.09024,-95.712891
Coach,4.9,1.1,3.8,3.3,14.2,USA,North America,37.09024,-95.712891
Staples,24.4,-0.2,24.6,12.3,9,USA,North America,37.09024,-95.712891
Hang Lung Group,1,0.7,0.3,23.6,7.9,Hong Kong,Asia,22.396428,114.109497
Assurant,8.5,0.5,8,28.9,3.5,USA,North America,37.09024,-95.712891
Talisman Energy,7.3,0.1,7.2,21.9,12.7,Canada,North America,56.130366,-106.346771
Attijariwafa Bank,3.4,0.5,2.9,43.5,6.7,Morocco,Africa,31.791702,-7.09262
China Cosco Holdings,14,-1.5,15.5,26.5,6.4,China,Asia,35.86166,104.195397
Kyushu Electric Power,18.2,-2,20.2,51.6,4.3,Japan,Asia,36.204824,138.252924
Lorillard,4.6,1.1,3.5,3.4,14.9,USA,North America,37.09024,-95.712891
BCI-Banco Credito,2.7,0.5,2.2,31,7.9,Chile,South America,-35.675147,-71.542969
Kintetsu,11.4,0.1,11.3,22.2,8.1,Japan,Asia,36.204824,138.252924
NiSource,5.1,0.4,4.7,21.8,8.8,USA,North America,37.09024,-95.712891
Rockwell Automation,6.3,0.7,5.6,5.7,12.4,USA,North America,37.09024,-95.712891
Naspers,5.1,0.4,4.7,10.5,27.7,South Africa,Africa,-30.559482,22.937506
Zain,4.6,0.9,3.7,10.4,10.8,Kuwait,Asia,29.31166,47.481766
SES,2.4,0.9,1.5,11.8,12.6,Luxembourg,Europe,49.815273,6.129583
W&W-Wüstenrot,8.8,0.3,8.5,101.8,1.9,Germany,Europe,51.165691,10.451526
Power Grid of India,2,0.6,1.4,18.2,9.3,India,Asia,20.593684,78.96288
Nippon Express,19.7,0.3,19.4,15,5.2,Japan,Asia,36.204824,138.252924
Gjensidige Forsikring,4.1,0.8,3.3,16.8,8.4,Norway,Europe,60.472024,8.468946
PLDT,4,0.9,3.1,9.9,15.1,Philippines,Asia,12.879721,121.774017
LeGrand,5.9,0.7,5.2,8.8,12.2,France,Europe,46.227638,2.213749
Dai Nippon Printing,18.2,-0.2,18.4,19.1,6.4,Japan,Asia,36.204824,138.252924
KazMunaiGas Exploration,5.3,1.1,4.2,10.4,7.9,Kazakhstan,Europe,48.019573,66.923684
Arab National Bank,1.5,0.6,0.9,36.4,6.2,Saudi Arabia,Asia,23.885942,45.079162
Starwood Hotels,6.3,0.6,5.7,8.9,12.3,USA,North America,37.09024,-95.712891
Westfield Retail Trust,0.5,0.9,-0.4,13.8,9.8,Australia,Oceania,-25.274398,133.775136
Finmeccanica,22.4,-3,25.4,38.4,3,Italy,Europe,41.87194,12.56738
Hertz Global Holdings,9,0.2,8.8,23.3,8.5,USA,North America,37.09024,-95.712891
Western Union,5.7,1,4.7,9.5,8.3,USA,North America,37.09024,-95.712891
Facebook,5.1,0.1,5,15.1,63.5,USA,North America,37.09024,-95.712891
Sharp,29.7,-4.5,34.2,31.8,3.7,Japan,Asia,36.204824,138.252924
Shimao Property Holdings,4.5,0.9,3.6,19.2,5.9,China,Asia,35.86166,104.195397
Harley-Davidson,5.6,0.6,5,9.2,12.5,USA,North America,37.09024,-95.712891
Cielo,2.6,1.1,1.5,4.7,18.9,Brazil,South America,-14.235004,-51.92528
Vedanta Resources,14,0.1,13.9,45.4,4.7,UK,Europe,55.378051,-3.435973
Nintendo,7.8,-0.5,8.3,15.9,14.4,Japan,Asia,36.204824,138.252924
Daito Trust Construction,13.1,0.6,12.5,6.7,7,Japan,Asia,36.204824,138.252924
Thai Beverage,5.2,0.9,4.3,6.8,12.3,Thailand,Asia,15.870032,100.992541
Belle International Holdings,5.2,0.7,4.5,4.6,15.3,Hong Kong,Asia,22.396428,114.109497
Cathay Pacific Airways,12.6,0.1,12.5,20.5,7.1,Hong Kong,Asia,22.396428,114.109497
Arrow Electronics,20.4,0.5,19.9,10.8,4.4,USA,North America,37.09024,-95.712891
New York Community,2.1,0.5,1.6,44.1,6.3,USA,North America,37.09024,-95.712891
Mediolanum,15,0.1,14.9,43.7,4.5,Italy,Europe,41.87194,12.56738
Bank of Ayudhya,2.8,0.5,2.3,34.8,7.2,Thailand,Asia,15.870032,100.992541
Dollar Tree,7.4,0.6,6.8,2.8,10.1,USA,North America,37.09024,-95.712891
Phoenix Group Holdings,1.9,0.6,1.3,140,2.2,UK,Europe,55.378051,-3.435973
National Bank of Greece,10.4,-16,26.4,137,1,Greece,Europe,39.074208,21.824312
Quest Diagnostics,7.4,0.6,6.8,9.3,8.9,USA,North America,37.09024,-95.712891
Flextronics International,24.7,0.4,24.3,11.2,4.5,Singapore,Asia,1.352083,103.819836
Liberty Media,2,1.4,0.6,8.3,13.4,USA,North America,37.09024,-95.712891
Aozora Bank,1.6,0.6,1,61.3,5.1,Japan,Asia,36.204824,138.252924
Nippon Yusen,21.8,-0.9,22.7,25.7,4.7,Japan,Asia,36.204824,138.252924
WR Berkley,5.8,0.5,5.3,20.2,5.9,USA,North America,37.09024,-95.712891
Shire,4.6,0.7,3.9,7.3,17.2,Ireland,Europe,53.41291,-8.24389
Schroders,2.3,0.4,1.9,23.8,9.2,UK,Europe,55.378051,-3.435973
Intuit,4.2,0.8,3.4,5.1,19.4,USA,North America,37.09024,-95.712891
Coventry Health Care,14.1,0.5,13.6,8.8,6.3,USA,North America,37.09024,-95.712891
Pohjola Bank,5.1,0.4,4.7,58.8,5.2,Finland,Europe,61.92411,25.748151
Hormel Foods,8.3,0.5,7.8,4.6,10.4,USA,North America,37.09024,-95.712891
Keyence,2.6,0.8,1.8,8.6,18.3,Japan,Asia,36.204824,138.252924
Hong Kong Exchanges,0.8,0.5,0.3,10.4,20.2,Hong Kong,Asia,22.396428,114.109497
Terna,2.3,0.6,1.7,18.6,8.3,Italy,Europe,41.87194,12.56738
Grupo Bimbo,13.5,0.2,13.3,10.1,13,Mexico,North America,23.634501,-102.552784
T Rowe Price,3,0.9,2.1,4.2,19.5,USA,North America,37.09024,-95.712891
Nidec,8.2,0.5,7.7,9.6,8,Japan,Asia,36.204824,138.252924
Continental Resources,2.6,0.7,1.9,9.1,17.2,USA,North America,37.09024,-95.712891
Emaar Properties,2.4,0.6,1.8,16.6,9.2,United Arab Emirates,Asia,23.424076,53.847818
China Oilfield Services,3.5,0.7,2.8,12,11.1,China,Asia,35.86166,104.195397
Bharat Petroleum,36.7,0.2,36.5,15.3,15.4,India,Asia,20.593684,78.96288
CMS Energy,6.3,0.4,5.9,17.1,7.3,USA,North America,37.09024,-95.712891
Delhaize Group,29.2,0.1,29.1,15.8,5.5,Belgium,Europe,50.503887,4.469936
Zimmer Holdings,4.5,0.8,3.7,9,12.5,USA,North America,37.09024,-95.712891
Brambles,5.6,0.6,5,7.7,14.1,Australia,Oceania,-25.274398,133.775136
Grupo Carso,6.4,0.6,5.8,5.9,11.3,Mexico,North America,23.634501,-102.552784
Bank of Greece,5.4,0.3,5.1,210.7,0.4,Greece,Europe,39.074208,21.824312
O'Reilly Automotive,6.2,0.6,5.6,5.7,11.5,USA,North America,37.09024,-95.712891
Next,5.6,0.8,4.8,3,10,UK,Europe,55.378051,-3.435973
Experian,4.5,0.7,3.8,7.8,18,Ireland,Europe,53.41291,-8.24389
Wisconsin Energy,4.2,0.5,3.7,14.3,9.5,USA,North America,37.09024,-95.712891
Lixil Group,15.6,0,15.6,17.6,6.1,Japan,Asia,36.204824,138.252924
Delek Group,18.6,0.1,18.5,30.7,3,Israel,Asia,31.046051,34.851612
AmBank Group,2.1,0.5,1.6,36.4,6.1,Malaysia,Asia,4.210484,101.975766
K+S,5.1,0.9,4.2,8.8,9.4,Germany,Europe,51.165691,10.451526
Kawasaki Heavy Industries,15.8,0.3,15.5,16.1,5.3,Japan,Asia,36.204824,138.252924
Innolux,16.3,-0.1,16.4,20.6,5.4,Taiwan,Asia,23.69781,120.960515
Kuwait Finance House,3.6,0.3,3.3,52.2,8.1,Kuwait,Asia,29.31166,47.481766
Canadian Oil Sands,3.7,1,2.7,10.2,10.2,Canada,North America,56.130366,-106.346771
Valeo,15.1,0.5,14.6,11.8,4.3,France,Europe,46.227638,2.213749
Brenntag,12.5,0.4,12.1,7.5,7.7,Germany,Europe,51.165691,10.451526
Colruyt,10.5,0.5,10,4.2,8.2,Belgium,Europe,50.503887,4.469936
Tullow Oil,2.4,0.6,1.8,9.4,17.2,UK,Europe,55.378051,-3.435973
Industrial Alliance Insurance,7.5,0.3,7.2,42,3.5,Canada,North America,56.130366,-106.346771
Kobe Steel,22.5,-0.2,22.7,26,3.8,Japan,Asia,36.204824,138.252924
JM Smucker,5.9,0.5,5.4,9.2,10.4,USA,North America,37.09024,-95.712891
Alcatel-Lucent,19.1,-1.8,20.9,28.2,3.5,France,Europe,46.227638,2.213749
Dr Pepper Snapple Group,6,0.6,5.4,8.9,9,USA,North America,37.09024,-95.712891
Cosmo Oil,37.6,-0.1,37.7,20,1.8,Japan,Asia,36.204824,138.252924
Mercantil Servicios,3.9,1,2.9,33.2,3.4,Venezuela,South America,6.42375,-66.58973
AMR,24.9,-1.9,26.8,23.5,1.3,USA,North America,37.09024,-95.712891
BPI,1.4,0.4,1,23.9,9.1,Philippines,Asia,12.879721,121.774017
Applied Materials,8.1,0,8.1,11.7,16,USA,North America,37.09024,-95.712891
Health Care REIT,1.8,0.3,1.5,19.5,17.1,USA,North America,37.09024,-95.712891
Wuliangye Yibin,3,1,2,5.9,14.7,China,Asia,35.86166,104.195397
Saudi Arabian Fertilizers,1.3,1,0.3,2.7,13.8,Saudi Arabia,Asia,23.885942,45.079162
MGM Resorts,9.2,-1.8,11,26.3,6.4,USA,North America,37.09024,-95.712891
Tokyo Electron,7.6,0.4,7.2,9.3,8.5,Japan,Asia,36.204824,138.252924
Chugoku Electric Power,14.3,0,14.3,34.2,4.4,Japan,Asia,36.204824,138.252924
Weichai Power,7.6,0.5,7.1,10.6,7,China,Asia,35.86166,104.195397
Shoprite Holdings,10.1,0.4,9.7,3.7,10.2,South Africa,Africa,-30.559482,22.937506
SMC Corp,4.1,0.7,3.4,8.9,13.2,Japan,Asia,36.204824,138.252924
El Puerto de Liverpool,5,0.5,4.5,6.6,15.5,Mexico,North America,23.634501,-102.552784
OHL Group,5.3,1.3,4,15.2,3.5,Spain,Europe,40.463667,-3.74922
Braskem,17.3,-0.4,17.7,19.6,5,Brazil,South America,-14.235004,-51.92528
Industrivarden,0.4,1.7,-1.3,10.5,7.2,Sweden,Europe,60.128161,18.643501
BM&F Bovespa,1,0.5,0.5,11.7,13.4,Brazil,South America,-14.235004,-51.92528
First Quantum Minerals,3,1.8,1.2,7.5,10.2,Canada,North America,56.130366,-106.346771
General Growth Properties,2.5,-0.5,3,27.3,18.7,USA,North America,37.09024,-95.712891
SanDisk,5.1,0.4,4.7,10.3,13.3,USA,North America,37.09024,-95.712891
Tokyu Land,6.7,0.4,6.3,21,5,Japan,Asia,36.204824,138.252924
Henan Shuanghui Investment,6.3,0.5,5.8,2.7,12.6,China,Asia,35.86166,104.195397
Prologis,2,0,2,27.3,18.7,USA,North America,37.09024,-95.712891
ZTE,13.3,-0.4,13.7,16.4,6.5,China,Asia,35.86166,104.195397
EnCana,5.2,-2.8,8,18.7,15,Canada,North America,56.130366,-106.346771
Banco Popolare,7.8,-2.9,10.7,169.9,2.6,Italy,Europe,41.87194,12.56738
Alrosa,4.7,0.9,3.8,10,7.7,Russia,Europe,61.52401,105.318756
Boston Scientific,7.2,-4.1,11.3,17.2,10,USA,North America,37.09024,-95.712891
American Financial Group,5.1,0.5,4.6,39.2,4.2,USA,North America,37.09024,-95.712891
Prada,3.3,0.6,2.7,3.6,25.8,Italy,Europe,41.87194,12.56738
Metalurgica Gerdau,18.5,0.2,18.3,25,3.8,Brazil,South America,-14.235004,-51.92528
NMDC,2.2,1.4,0.8,6.9,10.6,India,Asia,20.593684,78.96288
Storebrand,9,0.2,8.8,75.6,2,Norway,Europe,60.472024,8.468946
Shin Kong Financial,9.2,0.2,9,70,2.7,Taiwan,Asia,23.69781,120.960515
Hebei Iron & Steel,21.2,0.2,21,22.8,4.1,China,Asia,35.86166,104.195397
US Airways Group,13.8,0.6,13.2,9.4,2.6,USA,North America,37.09024,-95.712891
Celanese,6.4,0.6,5.8,9.2,7.5,USA,North America,37.09024,-95.712891
Regeneron Pharmaceuticals,1.4,0.8,0.6,1.7,16.7,USA,North America,37.09024,-95.712891
Inner Mongolia Yitai,5,1,4,6.4,8.7,China,Asia,35.86166,104.195397
HTC,9.8,0.6,9.2,7.1,6.6,Taiwan,Asia,23.69781,120.960515
Adani Enterprises,7.7,0.4,7.3,21,4.9,India,Asia,20.593684,78.96288
UBI Banca,7.4,0.1,7.3,174.8,3.7,Italy,Europe,41.87194,12.56738
Global Logistic Properties,0.6,0.5,0.1,13.6,9.8,Singapore,Asia,1.352083,103.819836
Nielsen Holdings,5.6,0.3,5.3,14.6,12.9,The Netherlands,Europe,52.132633,5.291266
Bank of Ningbo,2.4,0.5,1.9,41.3,4.9,China,Asia,35.86166,104.195397
PGN,2.6,0.9,1.7,3.9,13.5,Indonesia,Asia,-0.789275,113.921327
Intuitive Surgical,2.2,0.7,1.5,4.1,18.4,USA,North America,37.09024,-95.712891
Dangote Cement,1.5,0.8,0.7,3.2,15.1,Nigeria,Africa,9.081999,8.675277
Greentown China Holdings,5.6,0.8,4.8,17.3,3.2,China,Asia,35.86166,104.195397
Fresnillo,2.2,0.7,1.5,3.3,16.1,Mexico,North America,23.634501,-102.552784
Avalonbay Communities,1,0.4,0.6,11.2,16.6,USA,North America,37.09024,-95.712891
UPM-Kymmene,13.8,-1.7,15.5,16.1,6.1,Finland,Europe,61.92411,25.748151
Ameren,6.8,-1,7.8,21.8,8.3,USA,North America,37.09024,-95.712891
Clorox,5.6,0.6,5,4.5,11,USA,North America,37.09024,-95.712891
Guangzhou R&F,4.8,0.9,3.9,15.8,4.8,China,Asia,35.86166,104.195397
IDBI Bank,5,0.4,4.6,56.9,2.1,India,Asia,20.593684,78.96288
Samsung SDI,5.1,1.3,3.8,10.2,5.5,South Korea,Asia,35.907757,127.766922
Arch Capital Group,3.5,0.6,2.9,17.8,6.9,Bermuda,North America,32.321384,-64.75737
Portugal Telecom,8.5,0.3,8.2,26.5,4.7,Portugal,Europe,39.399872,-8.224454
Petrofac,6.5,0.6,5.9,5.3,8.1,UK,Europe,55.378051,-3.435973
Metso,9.9,0.5,9.4,8.5,6.3,Finland,Europe,61.92411,25.748151
GS Holdings,8.7,0.4,8.3,12,5.4,South Korea,Asia,35.907757,127.766922
FMC Technologies,6.2,0.4,5.8,5.9,12.5,USA,North America,37.09024,-95.712891
British Land,0.6,0.8,-0.2,13,7.5,UK,Europe,55.378051,-3.435973
Toppan Printing,18.2,0,18.2,19.1,4.6,Japan,Asia,36.204824,138.252924
Metro Inc,12.1,0.5,11.6,5.2,6,Canada,North America,56.130366,-106.346771
Yamato Holdings,15.2,0.2,15,11,7.7,Japan,Asia,36.204824,138.252924
Turkish Airlines,8.3,0.6,7.7,10.5,4.8,Turkey,Europe,38.963745,35.243322
Cosan,14.1,0.3,13.8,12.2,5.5,Brazil,South America,-14.235004,-51.92528
Mitsui OSK Lines,17.3,-0.3,17.6,23.5,4.2,Japan,Asia,36.204824,138.252924
MBIA,2.4,1.2,1.2,21.7,2.3,USA,North America,37.09024,-95.712891
Ingram Micro,37.8,0.3,37.5,11.5,3,USA,North America,37.09024,-95.712891
Century Tokyo Leasing,8.7,0.3,8.4,27.4,2.6,Japan,Asia,36.204824,138.252924
BorgWarner,7.2,0.5,6.7,6.4,9.2,USA,North America,37.09024,-95.712891
Hindustan Petroleum,32.6,0,32.6,16.8,1.9,India,Asia,20.593684,78.96288
Qingdao Haier,12.6,0.5,12.1,8,5.4,China,Asia,35.86166,104.195397
Stockland Australia,2.1,0.5,1.6,14.9,8.8,Australia,Oceania,-25.274398,133.775136
E-mart,11.3,0.4,10.9,11.5,5.4,South Korea,Asia,35.907757,127.766922
Interpublic Group,7,0.4,6.6,13.5,5.5,USA,North America,37.09024,-95.712891
Orascom Construction,5.4,0.7,4.7,9.8,7,Egypt,Africa,26.820553,30.802498
Molson Coors Brewing,3.9,0.4,3.5,16.2,8.8,USA,North America,37.09024,-95.712891
Shinsei Bank,4.5,0.1,4.4,104.4,6.6,Japan,Asia,36.204824,138.252924
IHI,14.8,0.3,14.5,15.7,4.5,Japan,Asia,36.204824,138.252924
Research In Motion,11.1,-0.6,11.7,13.2,7.9,Canada,North America,56.130366,-106.346771
Want Want China,3.4,0.6,2.8,3.5,19.8,China,Asia,35.86166,104.195397
Royal Carribean Cruises,7.7,0,7.7,19.8,7.4,Liberia,Africa,6.428055,-9.429499
Charter Communications,7.5,-0.3,7.8,15.6,9.1,USA,North America,37.09024,-95.712891
Delta Electronics,5.8,0.5,5.3,6.3,9.8,Taiwan,Asia,23.69781,120.960515
Micron Technology,8,-1.1,9.1,13.9,9.6,USA,North America,37.09024,-95.712891
FCC,14.7,-1.1,15.8,25.1,1.3,Spain,Europe,40.463667,-3.74922
CCR,3,0.6,2.4,7,17.3,Brazil,South America,-14.235004,-51.92528
Oji Holdings,14.7,0.3,14.4,19.7,3.5,Japan,Asia,36.204824,138.252924
Hyundai Glovis,10.4,0.4,10,4,6.7,South Korea,Asia,35.907757,127.766922
Fiserv,4.5,0.6,3.9,8.5,11.4,USA,North America,37.09024,-95.712891
Fidelity National Financial,7.2,0.6,6.6,9.9,5.5,USA,North America,37.09024,-95.712891
Remgro,1.7,1.1,0.6,7.1,9.9,South Africa,Africa,-30.559482,22.937506
HAL Trust,5.2,0.6,4.6,8.4,9,The Netherlands,Europe,52.132633,5.291266
Synovus Financial,1.3,0.8,0.5,26.8,2.2,USA,North America,37.09024,-95.712891
AGL Energy,7.6,0.1,7.5,14.5,9.5,Australia,Oceania,-25.274398,133.775136
Mitsubishi Materials,17.4,0.1,17.3,21.1,3.8,Japan,Asia,36.204824,138.252924
Wendel,8.6,0.3,8.3,18.8,5.4,France,Europe,46.227638,2.213749
Enka,5.7,0.6,5.1,8.2,8.3,Turkey,Europe,38.963745,35.243322
Bank of Nanjing,2.2,0.5,1.7,44.7,4.4,China,Asia,35.86166,104.195397
Wynn Resorts,5.2,0.5,4.7,7.3,12.1,USA,North America,37.09024,-95.712891
Medipal Holdings,33.2,0.1,33.1,15.5,3.2,Japan,Asia,36.204824,138.252924
Coca-Cola Amatil,5.3,0.5,4.8,7,12.1,Australia,Oceania,-25.274398,133.775136
Kajima,17.6,0,17.6,20.2,2.9,Japan,Asia,36.204824,138.252924
Power Finance,2.6,0.6,2,26.5,4.9,India,Asia,20.593684,78.96288
SQM,2.5,0.7,1.8,4,14.8,Chile,South America,-35.675147,-71.542969
Lennar,4.4,0.7,3.7,10.4,7.7,USA,North America,37.09024,-95.712891
Qantas Airways,16.1,-0.3,16.4,21.7,4.1,Australia,Oceania,-25.274398,133.775136
Arab Bank,2.1,0.3,1.8,45.6,5.9,Jordan,Asia,30.585164,36.238414
Orica,6.9,0.4,6.5,7.7,9.6,Australia,Oceania,-25.274398,133.775136
CP All,6.2,0.4,5.8,2.3,13.9,Thailand,Asia,15.870032,100.992541
Valeant Pharmaceuticals,3.5,-0.1,3.6,18,21.2,Canada,North America,56.130366,-106.346771
TUI,23.6,-0.1,23.7,16.8,2.8,Germany,Europe,51.165691,10.451526
Maxis,2.9,0.6,2.3,5.8,15.6,Malaysia,Asia,4.210484,101.975766
YTL,6.4,0.4,6,16.3,5.6,Malaysia,Asia,4.210484,101.975766
Sino-Ocean Land Holdings,4.6,0.7,3.9,20.2,3.5,China,Asia,35.86166,104.195397
Jacobs Engineering,11,0.4,10.6,6.9,7,USA,North America,37.09024,-95.712891
Boston Properties,1.9,0.3,1.6,15.5,16,USA,North America,37.09024,-95.712891
CIT Group,4,-0.6,4.6,44,9,USA,North America,37.09024,-95.712891
Kotak Mahindra Bank,2.6,0.4,2.2,18.1,9.2,India,Asia,20.593684,78.96288
DR Horton,4.7,1,3.7,7.3,7.8,USA,North America,37.09024,-95.712891
Family Dollar Stores,9.6,0.4,9.2,3.7,6.9,USA,North America,37.09024,-95.712891
Analog Devices,2.7,0.6,2.1,5.7,13.9,USA,North America,37.09024,-95.712891
Banco Comercial Português,6.3,-1.6,7.9,116,2.8,Portugal,Europe,39.399872,-8.224454
Fuji Media Holdings,7.2,0.7,6.5,11.4,4,Japan,Asia,36.204824,138.252924
Consol Energy,5.4,0.4,5,12.7,7.7,USA,North America,37.09024,-95.712891
Cincinnati Financial,4.1,0.4,3.7,16.5,7.7,USA,North America,37.09024,-95.712891
Goodyear,21,0.2,20.8,17,3.4,USA,North America,37.09024,-95.712891
Lotte Chemical,14.1,0.3,13.8,9.8,6.5,South Korea,Asia,35.907757,127.766922
United Utilities,2.5,0.5,2,16,7.1,UK,Europe,55.378051,-3.435973
CJ Corp,15.7,0.2,15.5,20.1,3.6,South Korea,Asia,35.907757,127.766922
Yamana Gold,2.3,0.4,1.9,11.8,11,Canada,North America,56.130366,-106.346771
Pirelli & C,7.8,0.5,7.3,10,5.3,Italy,Europe,41.87194,12.56738
Randstad Holding,22.5,0,22.5,8.3,7.6,The Netherlands,Europe,52.132633,5.291266
LabCorp,5.7,0.6,5.1,6.8,8.5,USA,North America,37.09024,-95.712891
Smith & Nephew,4.2,0.7,3.5,5.5,10.2,UK,Europe,55.378051,-3.435973
Golden Agri-Resources,6.1,0.4,5.7,13.3,6.1,Singapore,Asia,1.352083,103.819836
